CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
16737,1,288,53,1.4,1.4,1,0.0,1,0,0.0
16953,1,10,30,2.1,2.1,1,0.0,1,0,0.0
12814,1,48,101,1.8,1.8,1,0.0,1,0,0.0
16454,1,2,64,3.0,3.0,1,0.0,1,0,0.0
17763,1,12,263,1.3,1.3,1,0.0,1,0,0.0
12603,1,56,21,10.9,10.9,1,0.0,1,0,0.0
13302,1,5,155,12.8,12.8,1,0.0,1,0,0.0
12791,1,96,373,1.9,1.9,1,0.0,1,0,0.0
16881,1,600,66,0.7,0.7,1,0.0,1,0,0.0
17923,1,50,282,4.2,4.2,1,0.0,1,0,0.0
13307,1,4,120,3.8,3.8,1,0.0,1,0,0.0
16323,1,50,196,4.2,4.2,1,0.0,1,0,0.0
18133,1,1350,212,0.7,0.7,1,0.0,1,0,0.0
14424,1,48,17,6.7,6.7,1,0.0,1,0,0.0
17948,1,144,147,2.5,2.5,1,0.0,1,0,0.0
18174,1,50,7,2.1,2.1,1,0.0,1,0,0.0
14090,1,72,324,1.1,1.1,1,0.0,1,0,0.0
17752,1,192,359,0.4,0.4,1,0.0,1,0,0.0
13366,1,144,50,0.4,0.4,1,0.0,1,0,0.0
18113,1,72,368,1.1,1.1,1,0.0,1,0,0.0
15668,1,72,217,1.1,1.1,1,0.0,1,0,0.0
15753,1,144,304,0.6,0.6,1,0.0,1,0,0.0
15313,1,25,110,2.1,2.1,1,0.0,1,0,0.0
13747,1,8,373,9.9,9.9,1,0.0,1,0,0.0
16093,1,20,106,0.8,0.8,1,0.0,1,0,0.0
17443,1,504,219,1.1,1.1,1,0.0,1,0,0.0
15389,1,400,172,1.3,1.3,1,0.0,1,0,0.0
17291,1,72,308,7.7,7.7,1,0.0,1,0,0.0
17956,1,1,249,12.8,12.8,1,0.0,1,0,0.0
16738,1,3,297,1.3,1.3,1,0.0,1,0,0.0
16990,1,100,218,1.8,1.8,1,0.0,1,0,0.0
15118,1,1440,134,0.2,0.2,1,0.0,1,0,0.0
15510,1,2,330,125.0,125.0,1,0.0,1,0,0.0
13188,1,24,11,4.2,4.2,1,0.0,1,0,0.0
13270,1,200,366,3.0,3.0,1,0.0,1,0,0.0
14705,1,100,198,1.8,1.8,1,0.0,1,0,0.0
18068,1,6,289,16.9,16.9,1,0.0,1,0,0.0
13099,1,288,99,0.7,0.7,1,0.0,1,0,0.0
13135,1,4300,196,0.7,0.7,1,0.0,1,0,0.0
17925,1,72,372,3.4,3.4,1,0.0,1,0,0.0
16144,1,16,246,10.9,10.9,1,0.0,1,0,0.0
16765,1,4,294,8.5,8.5,1,0.0,1,0,0.0
15524,1,4,24,110.0,110.0,1,0.0,1,0,0.0
16078,1,16,283,5.0,5.0,1,0.0,1,0,0.0
15940,1,4,311,8.9,8.9,1,0.0,1,0,0.0
14351,1,12,164,4.3,4.3,1,0.0,1,0,0.0
15195,1,1404,2,2.8,2.8,1,0.0,1,0,0.0
15562,1,39,351,3.5,3.5,1,0.0,1,0,0.0
17347,1,216,86,1.1,1.1,1,0.0,1,0,0.0
15070,1,36,372,3.0,3.0,1,0.0,1,0,0.0
13185,1,12,267,6.0,6.0,1,0.0,1,0,0.0
16148,1,72,296,1.1,1.1,1,0.0,1,0,0.0
13703,1,10,318,9.9,9.9,1,0.0,1,0,0.0
13120,1,12,238,2.5,2.5,1,0.0,1,0,0.0
16257,1,1,176,21.9,21.9,1,0.0,1,0,0.0
14576,1,12,372,3.0,3.0,1,0.0,1,0,0.0
17382,1,24,65,2.1,2.1,1,0.0,1,0,0.0
17102,1,2,261,12.8,12.8,1,0.0,1,0,0.0
17715,1,384,200,0.8,0.8,1,0.0,1,0,0.0
17986,1,10,56,2.1,2.1,1,0.0,1,0,0.0
18184,1,60,15,0.8,0.8,1,0.0,1,0,0.0
15316,1,100,326,1.6,1.6,1,0.0,1,0,0.0
18233,1,4,325,110.0,110.0,1,0.0,1,0,0.0
15488,1,72,92,1.1,1.1,1,0.0,1,0,0.0
15657,1,24,22,1.3,1.3,1,0.0,1,0,0.0
13017,1,48,7,4.3,4.3,1,0.0,1,0,0.0
13391,1,4,203,14.9,14.9,1,0.0,1,0,0.0
13841,1,100,252,0.8,0.8,1,0.0,1,0,0.0
17331,1,16,123,10.9,10.9,1,0.0,1,0,0.0
13068,2,200,10,3.4,1.7,1,309.0,2,0,0.0
15945,2,52,365,5.5,2.75,2,0.0,2,0,0.0
17995,2,133,281,3.4,1.7,2,0.0,2,0,0.0
16754,2,4280,372,1.2,0.6,2,0.0,2,0,0.0
16162,2,4,252,18.7,9.35,2,0.0,2,0,0.0
16468,2,31,74,14.6,7.3,2,0.0,2,0,0.0
15216,2,28,87,9.6,4.8,2,0.0,2,0,0.0
13298,2,96,1,7.5,3.75,2,0.0,2,0,0.0
15442,2,120,248,9.9,4.95,2,0.0,2,0,0.0
13130,2,32,94,4.5,2.25,2,0.0,2,0,0.0
17186,2,200,46,1.4,0.7,1,13.0,2,0,0.0
14821,2,20,366,5.1,2.55,2,0.0,2,0,0.0
14682,2,80,187,1.3,0.65,1,13.0,2,0,0.0
13452,2,2,259,590.0,295.0,1,11.0,2,0,0.0
12917,2,120,128,9.9,4.95,2,0.0,2,0,0.0
17427,2,34,71,8.3,4.15,2,0.0,2,0,0.0
16856,2,12,14,5.9,2.95,2,0.0,2,0,0.0
15269,2,26,23,149.9,74.95,2,0.0,2,0,0.0
15603,2,96,78,1.0,0.5,2,0.0,2,0,0.0
15691,2,72,252,3.8,1.9,2,0.0,2,0,0.0
14642,2,76,58,6.0,3.0,2,0.0,2,0,0.0
17942,2,38,7,3.0,1.5,2,0.0,2,0,0.0
17029,2,400,110,3.6,1.8,1,126.0,2,0,0.0
16692,2,151,256,15.9,7.95,1,32.0,2,0,0.0
17941,2,252,130,2.5,1.25,2,0.0,2,0,0.0
